2020-03-17 10:44:44.568 [main] INFO  com.coolwe.start.StartApplication - Starting StartApplication on DESKTOP-08VGM8P with PID 30280 (D:\struggle\start\target\classes started by 19399 in D:\struggle\start)
2020-03-17 10:44:44.571 [main] DEBUG com.coolwe.start.StartApplication - Running with Spring Boot v2.1.3.RELEASE, Spring v5.1.5.RELEASE
2020-03-17 10:44:44.592 [main] INFO  com.coolwe.start.StartApplication - No active profile set, falling back to default profiles: default
2020-03-17 10:44:45.490 [main] DEBUG org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration - Searching for mappers annotated with @Mapper
2020-03-17 10:44:45.492 [main] DEBUG org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration - Using auto-configuration base package 'com.coolwe.start'
2020-03-17 10:44:45.512 [main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-03-17 10:44:45.526 [main] DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner - Identified candidate component class: file [D:\struggle\start\target\classes\com\coolwe\start\dao\MainDao.class]
2020-03-17 10:44:45.535 [main] DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner - Creating MapperFactoryBean with name 'mainDao' and 'com.coolwe.start.dao.MainDao' mapperInterface
2020-03-17 10:44:45.538 [main] DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner - Enabling autowire by type for MapperFactoryBean with name 'mainDao'.
2020-03-17 10:44:46.817 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2020-03-17 10:44:46.831 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-03-17 10:44:46.838 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.16]
2020-03-17 10:44:46.851 [main] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [F:\soft\Java\jdk1.8.0_202\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;F:\soft\Java\jdk1.8.0_202\bin;D:\soft\sqlite3;D:\soft\nodejs;D:\soft\Git\cmd;D:\soft\nodejs\node_global;D:\soft\nodejs\node_cache;C:\Program Files\MySQL\MySQL Shell 8.0\bin\;C:\Users\19399\AppData\Local\Microsoft\WindowsApps;D:\soft\bandizip\;D:\soft\Microsoft VS Code\bin;.]
2020-03-17 10:44:46.940 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-03-17 10:44:47.074 [main] DEBUG com.zaxxer.hikari.HikariConfig - Driver class com.mysql.cj.jdbc.Driver found in Thread context class loader sun.misc.Launcher$AppClassLoader@18b4aac2
2020-03-17 10:44:47.178 [main] DEBUG org.apache.ibatis.io.VFS - Using VFS adapter org.mybatis.spring.boot.autoconfigure.SpringBootVFS
2020-03-17 10:44:47.179 [main] DEBUG org.mybatis.spring.SqlSessionFactoryBean - Scanned package: 'com.coolwe.domain' for aliases
2020-03-17 10:44:47.181 [main] DEBUG org.mybatis.spring.SqlSessionFactoryBean - Property 'mapperLocations' was not specified or no matching resources found
2020-03-17 10:44:47.660 [main] DEBUG org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration - No org.mybatis.spring.mapper.MapperFactoryBean found.
2020-03-17 10:44:47.813 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2020-03-17 10:44:47.864 [main] INFO  com.coolwe.start.StartApplication - Started StartApplication in 3.852 seconds (JVM running for 4.928)
2020-03-17 10:45:48.186 [http-nio-8081-exec-2] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-03-17 10:45:48.263 [http-nio-8081-exec-2] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 10:46:20.746 [http-nio-8081-exec-3] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 10:46:38.923 [http-nio-8081-exec-4] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 10:48:48.486 [http-nio-8081-exec-6] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 10:49:42.290 [http-nio-8081-exec-7] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 10:50:07.618 [http-nio-8081-exec-9] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 10:51:15.180 [http-nio-8081-exec-8] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 10:51:57.570 [http-nio-8081-exec-10] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 10:53:18.968 [http-nio-8081-exec-3] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 10:54:04.245 [http-nio-8081-exec-4] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 11:09:41.642 [http-nio-8081-exec-6] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 11:10:25.849 [http-nio-8081-exec-7] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 11:12:14.032 [http-nio-8081-exec-1] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 11:13:22.859 [http-nio-8081-exec-10] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 11:13:46.455 [http-nio-8081-exec-2] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 11:15:49.715 [http-nio-8081-exec-4] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 11:16:07.905 [http-nio-8081-exec-5] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 11:17:40.003 [http-nio-8081-exec-7] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 11:18:02.161 [http-nio-8081-exec-9] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 11:18:23.823 [http-nio-8081-exec-1] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 11:18:41.320 [http-nio-8081-exec-8] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 11:18:54.562 [http-nio-8081-exec-10] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 11:19:24.996 [http-nio-8081-exec-2] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 11:20:45.325 [http-nio-8081-exec-4] INFO  com.coolwe.start.controller.MainController - /showDatabases
2020-03-17 11:20:48.711 [http-nio-8081-exec-5] INFO  com.coolwe.start.controller.MainController - /showDatabases
